#,Title,Track name,Abstract,Similarity rating (0-100),Similarity checked (date),Similarity checker,Page number for attendee proceedings,Authors with affiliation and country
1571061245,Machine Learning-Based Classification of Carotid Artery Auscultation for Early Screening of Cerebrovascular Diseases,Track 03 Medical and Digital Healthcare,"Early detection of cerebrovascular diseases is crucial for improving patient outcomes and reducing the risk of severe complications. This study proposes a machine learning-based approach for classifying Doppler audio signals obtained from the common carotid artery, aiming to develop a non-invasive screening tool. We extracted a comprehensive set of time-domain, frequency-domain, and time-frequency domain features from 432 Doppler audio signals, each lasting 10 seconds. Feature selection and importance analysis were performed using a random forest (RF) model and principal component analysis (PCA) for dimensionality reduction. We evaluated various machine learning models, including linear regression (LR), decision trees (DT), RF, XGBoost (XGB) and support vector machines (SVM). The ensemble methods, particularly RF and XGB, achieved the highest performance with an average accuracy of 95%, precision of 92%, recall of 94%, specificity of 97% and F1 score of 93%. These findings demonstrate the potential of machine learning techniques for non-invasive early screening of cerebrovascular diseases, paving the way for advancements in digital healthcare solutions.",16,8/31/24 18:56,ithenticate,,"Vidya Gopal T V (Indian Institute of Technology, Hyderabad, India); Inayathullah Ghori (Kamineni Hospital, India); Avinash Eranki (Indian Institute of Technology Hyderabad, India & IIT, India); Renu John (Indian Institute of Technology, India)"
1571061754,AutoBill: An Integrated AI-Powered Autonomous Checkout System,"Track 04 Industry 5. 0, Manufacturing and Automation","AutoBill represents a paradigm shift in retail checkout systems, introducing an AI-powered autonomous solution that leverages computer vision and machine learning for a seamless shopping experience. Emphasizing speed and safety, AutoBill minimizes human interactions through real-time object detection, weight measurement, and instant bill generation. Developed on Edge Impulse with Raspberry Pi integration, the system demonstrates precision with a 93.75\% accuracy rate, offering a glimpse into the future of retail technology with potential enhancements such as digital receipts, transaction history, and multi-store integration.

AutoBill, an innovative retail checkout system, blends cutting-edge technology with practical design. Using computer vision, load cells, and Edge Impulse's machine learning capabilities, the system achieves instant, contact-free checkout. The integration of a WS2812B RGB LED strip adds a dynamic visual element, while calibration ensures accurate weight measurement. AutoBill's success paves the way for future retail technology, envisioning features like digital receipts and multi-store analytics, signaling a transformative evolution in the retail landscape.",3,8/31/24 18:56,ithenticate,,"Chetan Patil, Najib Ghatte, Atharva Tadge and Nikita Joby (Sardar Patel Institute of Technology, India)"
1571062021,Digital Passport for Fresh Food Traceability,Track 01 Agriculture and Food Technology,"The growing population, increasing food demand, limited cultivable land, and erratic climate place significant pressure on agricultural output. Ironically, one-third of food intended for human consumption is wasted worldwide. Policymakers are addressing both food production and waste reduction challenges. In this paper, we propose a unique concept: the Digital Passport for tracing fresh food. The Digital Passport is a unique code affixed to the packaging of fresh fruits or vegetables, carrying comprehensive information about the produce from origin to disposal of packaging. This information can be decoded by consumers or supermarkets to trace the food's source of production, plucking date, storage conditions, current nutritional value, environmental impact, ripening stage, and potential repurposing options if overripe. We have developed the Food Application, which leverages our Food Digital Twin technology. The Food Digital Twin solution involves synchronized monitoring of various physico-chemical attributes, such as time-series sensory data, chemical composition variations, and images. AI/ML and physics-based models, trained on these attributes, predict food quality. These hybrid models act as soft sensors in real-time, allowing stakeholders to make dynamic decisions related to repricing, recycling, reusing, and repurposing based on food quality assessments. Consumers can scan the QR code on the fruit packaging and an image of the fruit to obtain information about its history and status. This system aims to create transparency and build consumer trust by verifying the authenticity of purchases. For supermarkets, the system aids in inventory control by capturing fruit status, predicting shelf life, adjusting prices, clearing stock, and selling surplus to food processing companies at reduced rates. The concept is designed to minimize food waste, facilitate better decision- making for buyers and sellers, ensure consumption of climacteric fruit at its peak nutritional value, and foster a sustainable food ecosystem for the future.",4,9/15/24 18:47,ithenticate,,"Mudra Kapoor (TCS Research & Innovation, India & TCS, India); Parijat Deshpande (TCS Research, India); Shankar Kausley (TCS, India); Beena Rai (Tata Research Development and Design Centre, Tata Consultancy Services Limited, India)"
1571062339,Optimized Method for Enhancing the Linearity of Capacitive Pressure Sensor With Circular Diaphragm by Transforming the Fixed Electrode,Track 09 Sensors Interfaces and Sensors Analytics,"Micro Electro Mechanical System (MEMS) based Capacitive pressure sensors (CPS) have found their use in multiple applications lately in the field of healthcare, automotive etc. The proposed design aims to achieve an enhanced sensor performance by relieving the sensitivity and linearity trade-off method and to determine core design parameters for optimal operation. Novel structures such as modified fixed bottom electrode with a reduced size of the electrode have been introduced for providing better sensor performance. A linear relation between touch radius and fixed electrode parameter indicates that the fixed electrode will have a circular shape analogous to the touch region. Therefore, higher linearity can be achieved by modifying the dimensions of the fixed electrode instead of the shape. MATLAB simulations verify the analytical model of capacitance and sensitivity, while COMSOL Multiphysics validates the diaphragm's deflection.",39,8/31/24 18:56,ithenticate,,"Gajula Rukshana Bi (Vellore Institute of Technology, India); Sumit Jindal (VIT VELLORE, India)"
1571064318,Job-Pilot: Streamlined Job Application Automation,Track 11 Other Novel Applications,"Job Pilot is an endeavor aiming to revolutionize the job search landscape through the development of an advanced automated system. Leveraging cutting-edge Natural Language Processing (NLP) techniques, JobPilot offers a comprehensive solution that streamlines multiple facets of the job-seeking process. By seamlessly parsing and extracting crucial information from uploaded resumes, the system constructs a centralized database for efficient storage and retrieval. Employing sophisticated algorithms, JobPilot meticulously matches job seekers with pertinent opportunities sourced from a plethora of platforms, thus minimizing manual effort and enhancing the efficacy of recruitment procedures. Moreover, JobPilot's automation capabilities extend to the application process itself, where it autonomously populates application forms, awaiting final approval from users.",11,8/31/24 18:56,ithenticate,,"Santhosh Y M, Vidya R Pai, Shreyas Ramesh, Shreyas R and Sarvani R (B M S Institute of Technology and Management, India)"
1571064345,A Survey: Smart Wristwear for Alzheimer Patients With an Advance Tracking System,"Track 07 IoT, Wearables and Immersive Technologies","Globally, there are around 50 million individuals afflicted with dementia, including Alzheimer's disease. When caregivers are unable to be with the afflicted person constantly, conditions like dementia and Alzheimer's can provide a range of therapeutic obstacles. And it is crucial to ensure the patient's safety and receive the right care, but receiving treatment without the ability to regularly check on the patient's status poses a variety of concerns. Thankfully, numerous wearable Internet of Things gadgets are accessible that can contribute to the highest level of safety and care. IoT has fueled medical research to lower costs and increase accessibility for all.The method we use, that considers the significance of these characteristics in the field of healthcare, presents an affordable, efficient, portable, and userfriendly wearable technology that is functional in conjunction with a mobile application to track, monitor, alert, and support Alzheimer's patients. Among the most promising ways to assist patients and their carers is through the outcomes of this Internet of Things (IoT)-based healthcare system. The application of AI has grown dramatically in all fields these days. Thus, the combination of AI and IoT technologies can lead to a variety of benefits. Instantaneous evaluation of information using AI can improve the choice-making of the Internet of Things devices. AI can help IoT devices learn and adapt to their environments, improving their ability to provide accurate and timely information. The aim of this research is to provide information about the different wearable devices present for people with AD.",5,8/31/24 18:56,ithenticate,,"Rutuja Javheri (JSPM's Rajarshi Shahu College of Engineering, India); Dipali Himmatrao Patil (Savitribai Phule Pune University, India); Aarti Kamble and Arpita Yadav (JSPM's Rajarshi Shahu College of Engineering, India); Prathmesh Kumar Kolhe (Savitribai Phule Pune University & JSPM's Rajarshi Shahu College Of Engineering, Pune., India); Gitanjali Mate (JSPM's Rajarshi Shahu College of Engineering, India)"
1571064384,Sustainable Model of Urban Village: Case of Rural Chandigarh,Track 08 Smart Cities and Villages,"The study addresses resource distribution, landowners' rights to maximise the effectiveness of the natural resources at their access for community welfare.  Urbanisation is playing a major role in land use changes, land transactions, increased rural-urban migration and the overall transformation of land uses. Participatory research methodology of research helped in the formulation of pragmatic proposal of a sustainable urban village. The study is aligned with the SDGs and primarily responds to Goal 11, 12 & 15. The proposal exemplifies striking a balance between using the land as a resource and conserving it so that present requirements are satisfied without affecting the ability of future generations to satisfy their own necessities. Chandigarh's urban villages have been analysed as a case study for comprehending the dynamics between the rural and urban areas.",6,8/31/24 18:56,ithenticate,,"Sunanda Kapoor (Manipal University Jaipur, India)"
1571064518,Proposed Model for Integrated Services of Healthcare System,Track 03 Medical and Digital Healthcare,"An integrated healthcare system is designed to 
coordinate services across various levels of care, ensuring that 
patients receive seamless and efficient care from healthcare 
providers. This paper proposes a model for a holistic healthcare 
system that is patient-centered, efficient, and focused on 
delivering high-quality care through collaboration, integration 
of services, and the use of technology. We first address ethical 
and legal issues confronting society, including privacy and 
surveillance, bias or discrimination, and the philosophical 
challenge of human judgment in healthcare. The paper then 
describes various proposed model components, including 
centralized patient information systems, multidisciplinary care 
teams, patient-centered care approaches, and technology 
integration. This comprehensive approach aims to improve the 
quality of care, enhance patient outcomes, and reduce costs 
through better coordination and collaboration. The proposed 
model offers numerous benefits that contribute to the overall 
well-being of individuals and the efficiency of the health sector, 
demonstrating the potential of well-designed, integrated 
healthcare systems.",9,8/31/24 18:56,ithenticate,,"Boentika Singh (SN Medical College, India); Sadhika Singh (IIT Hyderabad, India)"
1571065010,Image and Shadow Fusion for Precise Bead Orientation Detection in Jewelry Making Automation,Track 09 Sensors Interfaces and Sensors Analytics,"The jewelry-making industry faces persistent challenges in achieving precise bead orientation, a crucial step for creating intricate designs efficiently. Manual methods are time-consuming and error-prone, leading to material wastage and compromised quality. Semi-automatic systems still rely heavily on human intervention, and face limiting scalability. The image processing techniques also propose a limiting factor due to specular reflection from highly polished surface and metal dust deposited in the background during the process which makes the object and background identification challenging. Addressing this, the present research integrates Image processing techniques that fuse the image of the object under consideration with its shadow and apply an Artificial Intelligence based algorithm to automate bead orientation detection in jewelry design. The proposed system accurately identifies bead orientation, ensuring proper bead placement before the actual design process.   Due to very fast processing, our method enables real-time anomaly detection, enhances operational efficiency, and offers flexibility in object detection and orientation. By revolutionizing bead orientation detection, the present research promises to enhance productivity, reduce costs, and ensure quality in jewelry design automation.",3,8/31/24 18:57,ithenticate,,"Shristi Sharan (Institute of Infrastructure, Technology, Research and Management, India); Raghavendra H Bhalerao (IIRAM, India & IITRAM, India); Krupa Shah (IIT RAM, India); Kamlesh Kumar (San Jose State University, USA); Prince Kumar (Skylark Labs, India)"
1571065483,Enhanced Safety Stun Gun With GPS and GSM for Self-Defense,"Track 07 IoT, Wearables and Immersive Technologies","In today's world, women face numerous safety challenges, including harassment and molestation. In this paper, we proposed a self-defense stun gun as an effective and efficient solution for women's safety. This portable device contains a high-voltage generator, GSM and GPS module, panic and taser button and an Arduino Uno with Atmega328 AVR microcontroller. When the device is activated in a dangerous situation, it immediately sends an SMS with the user's location and distress signal to pre-selected contacts. It also generates a 1000kV electric shock to temporarily immobilize an attacker, allowing the user to escape or seek help. This device aims to enhance the safety and security of women in urgent need or dangerous circumstances for proactive measures against gender-based violence.",6,8/31/24 18:57,ithenticate,,"Chilakala Sudhamani, Akula Spoorthi and B. Srilatha (CMR Technical Campus, India)"
1571065969,pH Measurements Using Leaky Waveguides,Track 05 Environment and Infrastructure Monitoring,"Leaky waveguides (LW) are simple devices, requiring only a low refractive index layer on a higher refractive index substrate to act as an optical sensor. In this study, two types of LWs were used as pH sensors, the metal-clad LW (MCLW) and dye-doped LW (DDLW), using agarose as a pH-insensitive reference layer and chitosan as the pH-sensitive layer. The pH response of both layers was studied individually in both MCLW and DDLW formats and then as a stacked DDLW where the chitosan layer was deposited on top of an agarose layer. The agarose layer was found to be essentially insensitive to pH, while the measured pKa of the chitosan LW was found to be 6.33±0.18, which is in accord with the literature value of ~6.5. Using the stacked DDLW it was possible to reduce the sensitivity of the device to sample refractive index changes caused by composition by a factor of ~7.",21,8/31/24 18:57,ithenticate,,"Victoria Wensley (University of Birmingham, United Kingdom (Great Britain)); Nicholas J Goddard (Process Instruments (UK) Ltd, United Kingdom (Great Britain)); Ruchi Gupta (University of Birmingham, United Kingdom (Great Britain))"
1571066212,Using Cloud and IoT to Benefit Agriculture,Track 01 Agriculture and Food Technology,"Agriculture is a manually intensive activity that has been using mostly traditional practices evolved over generations. Recently, farmers have started taking advantage of scientific developments and scientific community inputs to improve their yields e.g. getting soil analysis, weather updates over TV, radio, internet etc. With free and fertile land for agriculture become scarce and population rising, yield needs to increase. Increased yield also means more revenue for farmer. Additionally, crops need protection from pests and insects. There is a need to know about weather forecasts. There is also a need to save water. With this in mind, the paper proposes an outline of fog computing based agricultural IoT System that can be used to improve agricultural yield. It is also expected to help in water conservation, get weather forecasts and agricultural inputs market predictions to farmers. It proposes use of data analytics and IoT to automate some of agricultural activities like irrigation, crop sowing, harvesting, etc. freeing up farmers for more important tasks. Data analytics will use inputs from sensors and cloud, analyse it and output predictions base on analysis. The system will provide option to farmer to either allow automatic actions or control the local operation.",13,8/31/24 18:57,ithenticate,,"Moreshwar Salpekar (Sevya Multimedia Pvt Ltd, India)"
1571066634,BDNF Quantification From Blood Plasma as a Diagnostic and Therapeutic Implementation,Track 03 Medical and Digital Healthcare,"Various non-invasive techniques for understanding the status of memory and cognitive abilities involving repetitive Transcranial Magnetic Stimulation (rTMS) and Electro Encephalo Graphy (EEG) can be avoided by the quantification of Brain-Derived Neurotrophic Factor (BDNF) from the blood plasma of various morning and evening chronotypes. One of the renowned quantification techniques happens to be Sandwich Enzyme-Linked Immunosorbent Assay (ELISA), which is underlined by the fact that a capture antibody molecule specifically binding to an antigen molecule is, in turn, associated with a primary antibody. The primary antibody can often be bound to a secondary antibody. The primary or secondary antibody is linked with an enzyme specific to a chromogenic substrate, which converts the chromogenic substrate to a product visible to us when exposed to a stop solution. The stop solution alters the pH to increase the contrast of the colour change for ease of detection. This colour change is stabilized with the introduction of stop solution, which is, in turn, essential for absorbance readings performed in a plate reader. In this study, BDNF acts as the antigen whose concentration is usually proportional to an individual's cognitive ability and even memory. As per August Beer's law, the extent of absorbance at a precise wavelength is proportional to the antigen concentration. With the generated data, 4 Parameter Logistic (PL) sigmoidal curve is obtained by keeping the concentration (nanogram per mililitre) at the x-axis as being an independent variable and absorbance at 450 nanometres at the y-axis as being a dependent variable. 4PL Sigmoidal curve considers four principal parameters, which are minimum value (at 0 dose) and maximum value (at infinite doses), which can be obtained, inflection point (halfway of the S-shaped curve), and Hill's slope (steepness at inflection point).",13,8/31/24 18:57,ithenticate,,"Suman Kalyan Das (Indian Institute of Technology Hyderabad, India)"
1571067081,Intelligent Grain Storage Management System for Horizontal Silos,Track 01 Agriculture and Food Technology,"We designed, fabricated and tested a sensor system for the management of grains stored in horizontal silos (also known as silobags), which mainly comprises some remote measurement units (at least two per silobag) that monitor both the state of grains and the integrity of the silobag at real time and that can be also configured as satellite gateways, thus allowing to remotely manage the grains stored in silobags. Measurement results performed during field tests in Argentina are reported.",6,8/31/24 18:57,ithenticate,,"Diego Barrettino (Lucerne University of Applied Sciences and Arts (HSLU), Switzerland); Denis Ferreira (SensDRB Ltd., Switzerland)"
1571067155,Innovative Approaches to Rainfall Prediction: Empowering Farmers With ML Models,Track 01 Agriculture and Food Technology,"Rainfall prediction plays a crucial role in agriculture, water resource management, and disaster preparedness. Accurate forecasting of rainfall can significantly enhance decision-making processes, leading to improved crop yields, better water resource allocation, and effective management of flood risks. Traditional methods of rainfall prediction often fall short due to the complex and dynamic nature of weather patterns. This study leverages machine learning techniques to develop a robust and precise rainfall prediction model using historical rainfall data from the years 1901 to 2015. Utilizing this extensive dataset, we train various machine learning models, including XGBoost, CatBoost, Random Forest, and Support Vector Machines (SVM), to predict rainfall with high accuracy. The proposed system allows for real-time rainfall forecasting, providing valuable insights to farmers, meteorologists, and policymakers. Our results demonstrate that machine learning can effectively predict rainfall, outperforming traditional statistical methods and offering a promising tool for mitigating the impacts of weather-related uncertainties on agriculture and other critical sectors.",16,8/31/24 18:57,ithenticate,,"Prasanth Vaidya Sanivarapu, V. Varshini, K.akshara Bhavitha, K. Nandhini, Ch. Madhavi and M. Sarayu (BVRIT HYDERABAD College of Engineering for Women, India)"
1571067270,Application of Innovative Electric Field Tri-Axial Sensor and Spherical Sources to the Detection of Buried Non-Conductive Objects,"Track 04 Industry 5. 0, Manufacturing and Automation","This paper presents an approach to Electric Field (EF) imaging, similar to magnetic nondestructive testing and 2D magnetic imaging. While magnetic imaging is well-established with numerous applications, EF imaging, particularly in the low-frequency range, has seen limited development. The proposed setup utilizes four spherical EF sources to generate a configurable electric field and detect non-conductive anomalies by measuring disturbances in this field. The system includes a high-dynamic range EF sensor and signal processing to interpret the induced secondary fields. Initial experimental results demonstrate the ability to image a non-conductive object - for understanding purpose - and the ability to detect buried objects - as a practical example. Finite-element-method (FEM) simulations were conducted to validate the detection principle and support the experimental findings.",9,8/31/24 18:57,ithenticate,,"Luis Saluden (University of Caen-Normandie, France); Matthieu Denoual (ENSICAEN, France); Gilles Allegre and Matthieu Roblin (Université Caen Normandie, France); Didier Robbes (GREYC, CNRS, Normandy University, ENSICAEN, France)"
1571067362,Internet of Things-Based Solar-Powered Automatic Irrigation System for Hibiscus Plant,Track 01 Agriculture and Food Technology,"One of the major issues facing several industries in Africa is a lack of widespread industrialisation. The agricultural sector suffers from this as well. A result of the extensive research and development in western countries is the development of optimal methods for various aspects of farming. Farmers can now set all the perfect conditions for a plant's growth, including the right amount of sunlight and shade, right timing of irrigation, soil type, moisture and humidity levels and others. Focusing on hibiscus plant, the methodology in this work uses the ESP32 Microcontroller and soil moisture sensor to solve the problem of timed irrigation. After detecting the level of soil moisture, the system pumps water into the soil which depends on the moisture level and the growth stage in the hibiscus plant's life cycle. By timing and supplying the right amount of water, the plant's optimal growth can be achieved. If the system is applied on a large scale, the rate of power consumption would be considerably large. Using a renewable energy source such as solar power would help to save cost and leave a much-reduced carbon footprint. Through all these, a farmer can use clean energy to irrigate plants based on their peculiar watering cycles.",12,8/31/24 18:57,ithenticate,,"Oluwadamilola Oshin, Gabriel O Sobola and Odianosen Omokhuale (Covenant University, Nigeria); Funmilayo Moninuola (Black Pearl Technology, USA); Olabode Idowu-Bismark (Covenant University, Nigeria)"
