reviewer_name,title,abstract,remark
manuscripts-papers,A Portable 3D Printed Low-Cost Chemiluminescent Sensing Device for Hydrogen Peroxide Detection Kavit,"Abstract— Detecting hydrogen peroxide (H₂O₂) is crucial in 
various sectors, including food analysis, environmental 
monitoring, 
and 
biomedical 
diagnostics. 
Portable 
chemiluminescence sensors offer an efficient solution for on-site 
H₂O₂ detection. This study introduces a low-cost, portable 
chemiluminescent sensor for H₂O₂ detection, developed using 
3D printing technology. The detection mechanism is based on a 
reaction involving luminol as the chemiluminescent agent and 
cobalt (II) ion complexes as catalysts. The system operates with 
microliter volumes of luminol, cobalt hexahydrate, and H₂O₂, 
and the reaction, lasting around",
manuscripts-papers,"Analysis of Various Sensor Data Systems During Turbulent Vs Stable Flights Kanishk Vishwakarma∗, Mar","Abstract—This analysis investigates and compares the perfor-
mance and efficiency of various onboard operations during tur-
bulent and stable flights. Utilizing the XPlane-12 simulation, the
study analyzes data gathered in continuous non-stop flights. The
data also includes information about control surface movements,
gear positions, and engine & thrust data. Emphasis is placed
on identifying sensor accuracy and reliability during turbulent
conditions. This research provides valuable insights for improving
onboard sensor technology and flight procedures in real-world
scenarios.",
manuscripts-papers,IoT-Enabled Portable ECG System Embedded with Power Gating Partthu Kalleda Kamlesh S Patle Vinay S P,"Abstract— Heart diseases can be identified by measuring 
heart's activities by means of monitoring the generated 
electrical signals through an electrocardiogram (ECG). 
Accurate diagnosis of any type of chest pain is crucial for the 
heart patients. Considering the catastrophe of the health 
infrastructure in rural India, there is a need of developing low-
cost, portable and reliable ECG systems. In the proposed work, 
we implemented a three electrode ECG monitoring system using 
electrodes (RA, LA, RL) along with in-house developed an 
analog front-end (AFE). AFE comprises of AD8232 signal 
conditioning IC (specifically designed for the ECG system) and 
a microcontroller. We have designed the portable system on 
printed circuit board (PCB) having form factor of about 60x28 
mm2 and power consumption of about 66 mW. To reduce the 
power consumption of the system, a programmable power 
gating scheme has been implemented which allows the power to 
entire system delivered periodically. In this reported system we 
have kept it wake up for 2 minutes per hour to take the data 
from the subject, process and send to the server using internet 
of things (IoT) technology. We compared our system with 7 
competing systems and found it performed better than all on 
form factor, cost and energy consumption.",
manuscripts-papers,Investigating Skin Deformation: The Impact of Indenter Diameter and Thickness on Mechanical Properti,"Abstract— Investigating the mechanical behavior of 
human skin is important for dermatology, the beauty 
industry, and diagnosing skin diseases. In a recent study, a 
finite element method (FEM) analysis was conducted using 
COMSOL Multiphysics to examine the response of skin to 
controlled prescribed displacement of 1000 μm with a step of 
50 μm from a spherical steel indenter with a diameter of 6.22 
mm. The skin was modeled as a two-dimensional, single-layer 
hyperelastic 
material, 
considering 
the 
dermis 
and 
hypodermis, and the Mooney-Rivlin material model was used 
to simulate its behavior under deformation. The study also 
investigated the effects of indenter diameter and skin 
thickness on skin behavior, specifically in terms of contact 
force, strain energy density, and stress levels. The results 
indicated that a larger indenter diameter spreads stress over 
a wider area, leading to increased contact force but decreased 
stress concentration. Conversely, a thicker layer of skin for 
the same contact area altered the distribution of deformation 
forces, resulting in lower local stress and contact force.",
manuscripts-papers,Designing a highly sensitive strain sensor based advanced system for accident detection and alert Mo,"Abstract—The use of Internet of Things (IoTs) is crucial for 
the development of advanced, highly reliable and cost-effective 
accident detection system. In India, states and union territories 
(UTs) reported 4,61,312 road accidents in 2022; these incidents 
resulted in 1,68,491 fatalities and 4,43,366 injuries, according to 
a report released by the Ministry of Road Transport and 
Highways on October 31, 2023. Additionally, this is an 1",
manuscripts-papers,"Performance Analysis of Soil Sensors: Accuracy, Variability, and Repeatability Puja Banerjee Electro","Abstract— The increasing challenges of climate extremes, 
soil degradation, and water scarcity in agriculture necessitate 
precise monitoring and management of soil conditions. This 
paper focuses on investigating the variability and benchmarking 
of commercial soil sensors for real-time monitoring of moisture 
and nutrient levels (NPK: nitrogen, phosphorus, potassium). 
The study emphasizes the need for sensor-specific calibration 
due to significant variability observed across different 
commercial sensors. Laboratory and field experiments revealed 
a mismatch of up to 10% in sensor readings, underscoring the 
importance of calibration. By applying gravimetric and sensor-
specific calibration techniques, the study achieved improved 
accuracy, with post-calibration errors reduced to under 5%. 
The findings suggest that proper calibration is essential to 
ensure reliable sensor performance, which is key to 
implementing efficient and sustainable precision agriculture 
practices.",
manuscripts-papers,Connected Vehicles Testbed for Real-time Deployment of Use Cases at TiHAN IIT Hyderabad V S S Phanee,"Abstract—Cellular 
Vehicle-to-Everything 
(C-V2X) 
technology is revolutionizing vehicular communication by 
enhancing road safety applications and optimizing traffic 
management. Unlike its predecessor, Dedicated Short-Range 
Communications (DSRC), C-V2X enables a broader range of 
coverage and maintains low latency by leveraging cellular 
infrastructure. 
This 
paper 
presents 
an 
overview 
of 
indigenously developed C-V2X units viz., software, hardware, 
stack and their application development on Vehicle-to-Vehicle 
(V2V), Vehicle-to-Infrastructure (V2I). The solutions provided 
by C-V2X technologies, which operate using 5G networks and 
beyond, enhance driver assistance systems and real-time 
hazard awareness. The results from trials at the TiHAN 
testbed demonstrate the effectiveness of C-V2X in enabling 
collision warning and pedestrian detection, as important use 
cases.",
manuscripts-papers,socialLens: Unveiling Loneliness Levels from Wearable and Smartphone Data Tarannum Ara Department of,"Abstract—Loneliness is a significant issue affecting people
from diverse backgrounds, impacting their overall well being.
In this paper, we introduce socialLens, a novel framework that
detects loneliness through wearable and smartphone sensor data
fusion. In our 4-month study involving 15 participants, we
observe significant correlation between their multimodal signals
and loneliness. By utilizing comprehensive data analysis and
machine learning techniques, socialLens enables personalized de-
tection of loneliness in an unobtrusive manner, while preserving
privacy of the users. Our results emphasize the importance of
integrating the physiological and mobility centric data for robust
prediction. Our personalized model achieved 83.2% to 100%
accuracy, while aggregated model reached 95.5%.",
manuscripts-papers,Development of r espiration monitoring system for infants using ultrasensitive and stre tchable stra,"Abstract—This works presents development of a cost-
effective respiration monitoring mechanism for infants. The 
whole system is based on a stretchable strain sensor patch 
developed using screen printing. The sensor was printed on a 
biocompatible substrate. The ultrasensitive nature and 
multielement design of the sensor contribute to picking minute 
level of strain produced by the breathing simulator to replicate 
the respiration scenario of an infant baby. To enable real time 
monitoring 
competent 
evaluation 
electronics 
was 
also 
developed. The mechanism can be used for non-stop observation 
of an infant and prevents the infant’s internal organs from 
invasive incubation system in use currently.",
manuscripts-papers,Computational-Efficient Morphology Zone search in Peripheral Blood Smear for Identification of Atypi,"Abstract—Advances in Digital Pathology has created mile-
stones in creating value add to the pathologists fraternity. One
of such solution that aids in reducing the workload of the
hematopathologists is the automated analysis of the Peripheral
Blood Smear (PBS). The current systems work more towards
intermediate magnification to achieve significant success in the
Turn-Around-Time (TAT), but same is not achieved for higher
magnification. This paper describes above edge-compute inte-
grating neural network model that works with higher magnified
smear images to identify the ideal zone of morphology. The results
shows that the system is able to reach the region of interest with
overall accuracy of 74% for 5-region and 90.3% for 3-region
classification system. Further, the tested model achieves the TAT
of less than 180 secs in higher magnification. The proposed system
shall be implemented for computational constrained imaging
systems that may be restricted to use single objectives.",
manuscripts-papers,Influence of Feed-Line Integration on Flexible Sensing Antenna Performance Sanjeev Patel Electrical ,"Abstract— This paper explores the effect of the integration 
of an SMA (Sub Miniature Version A) connector on the 
performance of a (Coplanar waveguide) CPW-Fed circular ring 
antenna printed on a PET (polyethylene terephthalate) 
substrate using silver ink. This work aims to make a highly 
flexible and reliable antenna system suitable for modern 
wearable and portable electronics applications. The design and 
fabrication process are described in detail in the paper, with an 
emphasis on the difficulties in preserving mechanical flexibility 
and electrical performance. The integration of the SMA 
connector has carefully been optimized to ensure minimal signal 
loss and robust connection, even under mechanical stress. 
Experimental results show that the CPW-fed circular ring 
antenna, with a securely attached SMA connector and desirable 
performance metrics, including consistent return loss, validates 
its potential for use in flexible electronics. The results show that 
silver ink on PET substrates works well for producing robust 
and efficient antenna for use in next-generation communication 
devices.",
manuscripts-papers,Metamaterial Inspired Coaxial Fed Two Element Antenna for Brain Tumor Detection and Localization Abs,"Abstract— This study introduces, a metamaterial coaxial-
fed two-element antenna with a unidirectional radiation 
pattern resonating at 3.88 GHz in open space. The 
proposed design has a minimal footprint area of 0.336𝜆 × 
0.2845𝜆 × 0.010𝜆 and showcases the remarkable results. 
The prospective design is made on a substrate (Rogers 
TMM) with a relative permittivity of 4.4 and an 
interdigitated rectangular parasitic patch positioned at 
the top of the substrate. The humanoid head phantom 
comprising 6 layers (brain, CSF, dura, skull, fat & skin) 
and the tumor, which possesses various physical and 
electromagnetic characteristics is designed within the 
HFSS. The detection of tumors in the brain is done by 
analyzing the difference in scattering parameters for 
healthy and diseased tissue. However, the localization and 
sizing of the cancer are done by extracting the phase and 
magnitude of the electric field rather than utilizing 
complex imaging algorithms. Furthermore, the antenna's 
Specific Absorption Rate (SAR) for a regular head 
phantom is 0.16779 W/Kg, and a phantom with a tumor 
is 0.202 W/kg, less than the average SAR of 2 W/kg. 
 
I.",
manuscripts-papers,A Wireless and Epidermal ML-Assisted GSR Monitor System for Stress Assessment 1st Xiaochang Pei Dept,"Abstract—Conventional stress assessment methods, such as 
questionnaires and lab-based assays, face challenges including a 
lack of quantifiable data, inconsistent standards, and limited 
applicability for continuous monitoring. To overcome these 
issues, we developed a wireless, battery-free wearable system for 
stress monitoring that integrates machine learning (ML) with 
epidermal galvanic skin response (GSR) sensors made from 
ultra-thin conductive polymer film. These conductive polymer 
electrodes are ultrathin, stretchable, and fabricated through an 
economical 
fabrication 
process, 
providing 
low 
contact 
impedance, a high signal-to-noise ratio, and strong mechanical 
durability. The system features a wireless, battery-free readout 
circuit that leverages Near-Field Communication (NFC) 
technology for power and data transmission, eliminating the 
need for bulky batteries and improving both wearability and 
user comfort. GSR data is wirelessly transmitted to a 
smartphone for real-time analysis, where machine learning 
models are used to classify stress events by distinguishing 
between stress and rest states. In-situ experiments, conducted 
during a Stroop test, validated the system's ability to detect 
stress events. These findings highlight the system's potential for 
continuous, 
real-time 
stress 
monitoring 
in 
everyday 
environments. This wearable device presents a notable 
advancement in stress detection technology, offering a practical, 
efficient solution for continuous health monitoring.",
manuscripts-papers,Performance Dependency of Piezoelectric Sensor on Robotic Finger Tapping Frequency Ariba Siddiqui *M,"Abstract—Rapid advancements in the fields of biomedical, 
intelligent 
devices, 
energy 
harvesters, 
and 
wearable 
technologies have increased the need for flexible sensors that 
are extremely versatile, reliable, and environment friendly. In 
past decades, piezoelectric materials have drawn a lot of 
interest in this regard. Amongst all the piezoelectric materials, 
PVDF (along with its copolymers) has been extensively studied 
for wide number of applications because of its exceptional 
flexibility, 
long-term 
stability, 
processing 
ease, 
and 
biocompatibility. Herein, we report an easily fabricated novel 
PVDF/ZrO2 based thin film piezoelectric sensor. The 
piezoelectric performance of the sensor is tested by tapping the 
sensor with a robotic finger. Four different frequencies—7 Hz, 
3 Hz, 2 Hz, and 1 Hz are used for tapping the sensor. 
Correspondingly, the sensor generated 0.5 V, 0.288 V, 0.12 V, 
and 0.11 V maximum output voltages for the mentioned 
frequencies. The effect of tapping frequency on the sensor's 
electrical voltage generation is observed. The results show that 
a greater voltage output from the sensor is correlated with a 
higher tapping frequency. Furthermore, a sensor with a low 
tapping frequency will produce a voltage output from the 
sensor that is comparatively lower.",
manuscripts-papers,Utilizing Inverted Residual Blocks in Deep Learning Models for ALL Classification Fitsum Getachew To,"Abstract—Acute Lymphoblastic Leukemia, a rapidly progress-
ing cancer primarily affecting children, is caused on by the
aberrant growth of immature white blood cells in the bone
marrow. Effective therapy for Acute Lymphoblastic Leukemia
depends on early discovery and precise classification, however
hematologists frequently find this to be a labor-intensive task. By
using deep learning techniques for the automated classification
of leukemia in blood microscopic pictures, this study aims to
lessen the workload for doctors. We compared our proposed
deep neural network model, which uses Inverted Residual Blocks
inspired by MobileNetV2, to other two transfer learning models:
VGG16, which and Inception.Our model is optimized to minimize
computing demands and capture complex information in an
effective manner. Furthermore, overfitting was greatly reduced
by the thoughtful application of dropout layers, producing a
more broadly applicable model. On the test dataset, the suggested
model yielded an accuracy of 98.55% and showed remarkable
recall rates of 97%, 100%, and 100% for the early pre-B, pre-
B, and pro-B stages, respectively. These results underscore the
model’s potential as a reliable tool for assisting in the early
detection and classification of ALL, ultimately contributing to
more effective clinical decision-making.",
manuscripts-papers,Development of a Pulse-Mode Photobiomodulation for Enhancement of Cerebral Oxygenation Level Biswaji,"Abstract— The paper represents a low cost Pulse Mode 
Photobiomoduation (PBM) device where low power infrared 
LEDs are used. The wavelengths of LEDs are 660, 810 and 850 
nm. Altogether 28 LEDs are used which are divided into seven 
square matrix manner. There are four LEDs in each square 
matrix. In every square matrix there are two LEDs of 
wavelength 660, one LED of wavelength 810 and one LED of 
wavelength 850 nm. When this PBM device applied into the 
frontal lobe of the cerebral cortex light penetrate into the tissue 
of the head and react with blood choromophores and activate 
mitochondrial function then it gets more oxidized and produce 
Adenosine Triphosphate (ATP), Nitric Oxide (NO) and Reactive 
Oxygen Species (ROS) which leads to an enhancement of 
cerebral oxygenation level by approximately 7%.",
manuscripts-papers,"Evaluating the Suitability of IBM Quantum Hardware for Practical Quantum Search Jyothikrishna Sajja,","Abstract—Through the application of concepts derived from
quantum mechanics, quantum computers assert that they are
capable of doing certain tasks with more efficiency than classical
computers. For the purpose of accelerating the process of
solving unstructured search problems, a well-known quantum
technique known as Grover’s algorithm, is utilized. As part of this
investigation, the IBM Q 5 Tenerife is compared to the quantum
hardware that is already available from IBM, and the feasibility
of adopting Grover’s approach is evaluated. An analysis of the
algorithm’s component pieces, such as the diffusion operator
and the oracle, is included in this presentation. Additionally,
simulation and experimental data are also included. The findings
that we obtained demonstrate that the accuracy of the 3-qubit
Grover’s approach is improved when it is executed. In contrast,
the 4-qubit Grover’s technique demonstrates a rise in accuracy
that is not as noticeable as the other algorithm. The execution
time of the 3-qubit Grover’s approach is successfully reduced
from 84.33 second to just 5 second by both of the methods,
which is something that should be included in the discussion.",
manuscripts-papers,Innovative 3D -Printed pH Wearable Sensor 3DpHS: Wireless and Battery -Free System for On -Demand He,"Abstract—Wearable pH sensors are valuable for health 
monitoring, including infection detection, disease diagnosis, and 
personalized medicine. However, current devices are often 
costly, rigid, and require bulky instruments operated by skilled 
personnel, limiting their clinical and remote application. Here, 
we introduce a miniaturized, battery-free, biocompatible, 
flexible, 3D-printed (3DpHS) sensor system with a reusable NFC 
module for wireless, real-time pH monitoring. Using direct ink 
writing, the sensors were printed with an NFC circuit on a 
flexible, skin-like substrate, offering a low-cost, efficient 
fabrication process. The system demonstrated high sensitivity (~ 
|5",
manuscripts-papers,Two-stage optimization algorithm for model parameter extraction of a EIS-based pocket-sized adultera,"Abstract—Identifying Cooking oils that are adulterated with
cheaper additives or used oils is a pressing challenge today. In
this study, a pocket sized, low-cost, and versatile system was
developed using the ADuCM355 microcontroller equipped with
an electrochemical interface to measure the EIS of acetone extract
of coconut oil which is adulterated by adding palmitic acid and
fitting the EIS to an equivalent circuit. The model parameters
of the equivalent circuit is extracted using different population
based optimization technique. The performance, in terms of
quality of solution and extraction time, of different variants of
differential evolution (DE) algorithm are compared with Particle
Swarm Optimization (PSO), Genetic algorithm and Simulated
Annealing (SA) algorithm. The study investigates efficiency of
multiple optimization algorithms for fitting. In this approach, the
detection of adulterants in oils is performed at low frequency
of 200 KHz which enables miniaturization of the system for
portability.",
manuscripts-papers,Ultrafast highly sensitive optical fiber sensor for humidity me asurement Sunil Mohan * Department o,"Abstract— This paper describes the development of an 
optical fiber humidity sensor utilizing a Ti₃C₂Tₓ MXene-coated 
etched fiber Bragg grating (EFBG). The developed sensor 
demonstrates a linear response over the RH range 40-85% with 
an impressive sensitivity of 35.5 pm/% RH. An ultrafast 
response and recovery times of 0.07s and 0.1s are observed 
during quick humidification and dehumidification. The 
response of the sensor is fully reversible and repeatable.",
manuscripts-papers,Water Footprint of Academic and Administrative Personnel: A Case Study at Samarkand State University,"Abstract— This study examines the water footprints of 
academic and administrative staff at Samarkand State University, 
revealing an average of 1905 m³/year per person. Industrial 
consumption accounted for the largest share (897 m³), followed 
closely by food consumption (891 m³), with meat being the most 
water-intensive. Domestic consumption represented a smaller 
portion (116 m³). The findings emphasize the significant 
environmental impact of dietary choices and highlight the need for 
more sustainable practices. By promoting water-efficient habits 
and informed consumption, substantial reductions in water use 
can be achieved, contributing to efforts in addressing global water 
scarcity.",
manuscripts-papers,Mitigating Stiction Failures in In-use M/NEMS - based Sensors using a Reliable Piezoelectric RESET M,"Abstract—This paper presents a reliable piezoelectric 
RESET mechanism designed to overcome stiction in MEMS-
based sensors during operation. In addition to addressing 
stiction, the proposed RESET mechanism serves as a beam stop 
during excessive vibrations or acceleration, preventing further 
damage to the suspended structure. The integration of this 
mechanism into the fabrication process requires only one 
additional lithography step, making it efficient for CMOS-
MEMS integration. The RESET functionality has been 
successfully demonstrated through 1000 cycles without any 
performance degradation, confirming its robustness and 
reliability.",
manuscripts-papers,Endoscopy-Based Deep Learning System for Recognizing Gastric and Intestinal Disorders Dharisana S J ,"Abstract—Consequently, endoscopy is an important modality
for the diagnosis of GI disorders, especially for the detection
of GA and IM. Considering that highly trained radiologists are
required in diagnosis, it remains subjective, which suffers from
examination efficiency due to the time and expertise involved.
The paper proposed a novel deep learning-based approach for
automating diagnostics and enhancing diagnostic precision in
endoscopy. Using data from both LCI and WLI modalities,
annotated by expert radiologists and verified with biopsy results,
this is to set up a benchmark dataset for the recognition of
GI disorders. The proposed system leverages transfer learning
and deep learning techniques to come up with better diagnostic
accuracy and speed.",
manuscripts-papers,Digital Interface for Short-Span Resistive Sensors Using SAR Technology Nimesh Kr Baranwal and Anoop,"Abstract—This paper presents a digitizing interface circuit
suitable for resistive sensors with a relatively short output span.
The scheme employs an improved successive approximation
register (SAR)-based technique for digitization. The proposed
architecture offers good performance for short-span sensors
while retaining the inherent advantages of the SAR method.
The mathematical methodology of the circuit solution is detailed
and analyzed. Simulation studies are conducted to verify the
effectiveness of the scheme. Results show that the scheme provides
a low nonlinearity error (0.07%) when interfaced with a sensor
having a base resistance of 5 kΩand a span of 500 Ω. Further,
experimental evaluation of the circuit is carried out with both a
synthesized resistive sensor and a commercial magnetoresistance
(MR) sensor. The practicality of the scheme is established through
these tests. Results indicate that the scheme can serve as an effec-
tive linearizing interface for low-field MR-based magnetometers.",
